,L,lambda,sd,NRMSE,median,R1
0,1.0,0.0,0.0,1.0107277431369743,0.00012082498275703755,0.08993250617129726
1,1.0,0.0,0.05,1.0107321823798143,0.00011414144263376516,0.07894879800472698
2,1.0,0.0,0.08,1.0107340071983015,0.00010421177556188736,0.07202025722755
3,1.0,0.0,0.12,1.0107326985520617,9.077192880315845e-05,0.1048019053266047
4,1.0,0.0,0.18,1.0107277520060718,6.74072669807815e-05,0.05341908045506299
5,1.0,0.0,0.28,1.01073906736222,4.2969142608219716e-05,0.06817633501526861
6,1.0,0.0,0.42,1.0107391762458044,2.1350224841755278e-05,0.1111292295476919
7,1.0,0.0,0.65,1.0107748979953446,1.0134499176698965e-05,0.1338737600038738
8,1.0,0.0,1.0,1.0105734487464337,3.6852518066828864e-06,0.08271368389446118
9,1.0,0.5,0.0,1.0092388469448241,5.1251416812943306e-05,1.0
10,1.0,0.5,0.05,0.9968862992252527,-0.21946105837593857,0.9950206666714857
11,1.0,0.5,0.08,0.9962348364155622,-0.6106106005945443,0.9864301257379127
12,1.0,0.5,0.12,0.9994284460868691,-0.1882646203731242,0.9659676210441553
13,1.0,0.5,0.18,1.7279117236040464,-0.12513169786359357,0.9041109848037426
14,1.0,0.5,0.28,1743.067283539903,-0.1316469538669296,0.623311781735897
15,1.0,0.5,0.42,1246.7351140285368,-0.3013640470208075,0.13970144637315796
16,1.0,0.5,0.65,976.5318002669256,-0.289324289617765,0.12301199449601613
17,1.0,0.5,1.0,1241.4610881360593,0.0037702794421610904,0.13700842067905347
18,1.0,1.0,0.0,1.0092364057551122,2.5624719353149934e-05,1.0
19,1.0,1.0,0.05,0.993358043807264,-0.3691582825958456,0.9987711769381363
20,1.0,1.0,0.08,0.9933452654379864,-0.29787652253477914,0.9967426424995417
21,1.0,1.0,0.12,0.9909310494106995,-0.5243956093471109,0.9922431954610554
22,1.0,1.0,0.18,0.9862091634074607,-0.38151782088063746,0.9822391748435788
23,1.0,1.0,0.28,0.9829855154986652,-0.1245412696777084,0.9485593997695961
24,1.0,1.0,0.42,3.9953968359889482,0.004959046357984548,0.849812244918998
25,1.0,1.0,0.65,4313.69005133676,-0.10715324492979439,0.36606861570665417
26,1.0,1.0,1.0,3269.568927420529,-0.016366848641189424,0.16596555925067905
27,1.0,2.0,0.0,1.0092316935019368,1.2819658811108234e-05,0.9999999999999998
28,1.0,2.0,0.05,0.9863295267671278,-0.8753260102930973,0.9996937688977312
29,1.0,2.0,0.08,0.9870828603822152,-0.32624204011466357,0.9991931443702783
30,1.0,2.0,0.12,0.9869959405920008,-0.2343592351238802,0.9980990697390463
31,1.0,2.0,0.18,0.9839950160415667,-0.378692868268381,0.9957691369980877
32,1.0,2.0,0.28,0.9653193211475442,-0.8017664108160731,0.988963390076704
33,1.0,2.0,0.42,0.9644564876257222,0.15936235367495166,0.9757250075160397
34,1.0,2.0,0.65,0.9695462690889186,-0.005911593432541051,0.937247544275329
35,1.0,2.0,1.0,9.867452986122354,0.0011724682989627446,0.7126165523977772
36,1.0,3.0,0.0,1.0092351471922356,8.503824742872452e-06,1.0
37,1.0,3.0,0.05,0.9781701832808403,-1.3225167550863723,0.999863978976145
38,1.0,3.0,0.08,0.9796998677510887,-0.4487728628797506,0.9996419962935085
39,1.0,3.0,0.12,0.9798754150824835,-0.2869483042705053,0.9991581966731419
40,1.0,3.0,0.18,0.9793162083413965,-0.22091410046054488,0.9981348924921696
41,1.0,3.0,0.28,0.962165304746288,-0.8950216339006396,0.9952080999754933
42,1.0,3.0,0.42,0.9466848023429625,-0.30229500429440975,0.9897440089807339
43,1.0,3.0,0.65,0.9387468029082585,0.14811250647402643,0.976940666754751
44,1.0,3.0,1.0,0.9358584933784077,-0.24398681451056792,0.9291496508596515
45,1.0,4.0,0.0,1.0092358672699784,6.415274259758454e-06,0.9999999999999999
46,1.0,4.0,0.05,0.9695105514060155,-1.7021293335735033,0.9999235052810834
47,1.0,4.0,0.08,0.971445393793902,-0.6070873063306843,0.9997987412309454
48,1.0,4.0,0.12,0.9718060392883725,-0.3244301016520802,0.9995270930162136
49,1.0,4.0,0.18,0.9716615451076346,-0.16761539603048425,0.9989537967716333
50,1.0,4.0,0.28,0.9636708782100978,-0.7799918756027948,0.9973256792058163
51,1.0,4.0,0.42,0.9330639037468521,-0.6185281114200936,0.9943246147366621
52,1.0,4.0,0.65,0.9297990635364964,0.014702786493208303,0.9875150960726352
53,1.0,4.0,1.0,0.9117481871769221,-0.5807074836436354,0.9656427443696546
54,1.0,4.5,0.0,1.0092380970067063,5.858777368993015e-06,1.0
55,1.0,4.5,0.05,0.9651428676720996,-1.8585153777564134,0.9999395636360111
56,1.0,4.5,0.08,0.9670942060883966,-0.6761047374306188,0.9998410063026628
57,1.0,4.5,0.12,0.9675403514485548,-0.3659037063729817,0.999626476651303
58,1.0,4.5,0.18,0.9674727483925482,-0.181947859644347,0.9991739855426427
59,1.0,4.5,0.28,0.9619387691756713,-0.644358127891317,0.9978914026884652
60,1.0,4.5,0.42,0.9314430798355245,-0.6326077582547631,0.995535114987255
61,1.0,4.5,0.65,0.9210757624815914,-0.19051309727805998,0.9902296291974393
